QtdDados,TamanhoTabela,FuncaoHash,TempoInsercao_ms,Colisoes,TempoBusca_ms,Comparacoes_Busca
1000000,1000,DivisaoHash,4957,999000,251,5021642
1000000,1000,MultiplicacaoHash,4761,999000,217,5023751
1000000,1000,DobramentoHash,35288,999611,889,24200830
1000000,10000,DivisaoHash,1280,990000,25,510381
1000000,10000,MultiplicacaoHash,1253,990000,27,511230
1000000,10000,DobramentoHash,35037,999611,1015,24200830
1000000,100000,DivisaoHash,359,900025,20,61983
1000000,100000,MultiplicacaoHash,329,900005,19,59838
1000000,100000,DobramentoHash,35152,999611,993,24200830
5000000,1000,DivisaoHash,153759,4999000,1249,25050910
5000000,1000,MultiplicacaoHash,154088,4999000,1168,25042514
5000000,1000,DobramentoHash,672583,4999603,4205,120531228
5000000,10000,DivisaoHash,32638,4990000,195,2510853
5000000,10000,MultiplicacaoHash,32359,4990000,180,2511576
5000000,10000,DobramentoHash,673739,4999603,3769,120531228
5000000,100000,DivisaoHash,7012,4900000,39,270756
5000000,100000,MultiplicacaoHash,6958,4900000,160,260527
5000000,100000,DobramentoHash,672944,4999603,3946,120531228
20000000,1000,DivisaoHash,2042425,19999000,2209,99504395
20000000,1000,MultiplicacaoHash,2043443,19999000,2187,99496032
20000000,1000,DobramentoHash,9117072,19999600,10979,481350548
20000000,10000,DivisaoHash,331970,19990000,269,9955170
20000000,10000,MultiplicacaoHash,330294,19990000,254,9959219
20000000,10000,DobramentoHash,9114451,19999600,11028,481350548
20000000,100000,DivisaoHash,72266,19900000,59,1040658
20000000,100000,MultiplicacaoHash,71948,19900000,79,1004299
20000000,100000,DobramentoHash,9091129,19999600,12354,481350548
